Planilha de Alunos Prática;;;;;;;;;;;
;Nome do Aluno;CPF;Venc. Renach;A/B;Data do Início;Aulas;Aulas;Data do Fim;Obs;Final;
1;Wagner Martins;99999999999;21/08/2003;SS;;;;;;;
2;;;;;;;;;;;
3;;;;;;;;;;;
4;;;;;;;;;;;
5;;;;;;;;;;;
6;;;;;;;;;;;
7;;;;;;;;;;;
8;;;;;;;;;;;
9;;;;;;;;;;;
10;;;;;;;;;;;
11;;;;;;;;;;;
12;;;;;;;;;;;
13;;;;;;;;;;;
14;;;;;;;;;;;
15;;;;;;;;;;;
16;;;;;;;;;;;
17;;;;;;;;;;;
18;;;;;;;;;;;
19;;;;;;;;;;;
20;;;;;;;;;;;
21;;;;;;;;;;;
22;;;;;;;;;;;
23;;;;;;;;;;;
24;;;;;;;;;;;
25;;;;;;;;;;;
26;;;;;;;;;;;
27;;;;;;;;;;;
28;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
